"measurement","setosa","versicolor","virginica"
"sample1_Petal.Length",1.4,4.7,6
"sample1_Petal.Width",0.2,1.4,2.5
"sample1_Sepal.Length",5.1,7,6.3
"sample1_Sepal.Width",3.5,3.2,3.3
"sample10_Petal.Length",1.5,3.9,6.1
"sample10_Petal.Width",0.1,1.4,2.5
"sample10_Sepal.Length",4.9,5.2,7.2
"sample10_Sepal.Width",3.1,2.7,3.6
"sample11_Petal.Length",1.5,3.5,5.1
"sample11_Petal.Width",0.2,1,2
"sample11_Sepal.Length",5.4,5,6.5
"sample11_Sepal.Width",3.7,2,3.2
"sample12_Petal.Length",1.6,4.2,5.3
"sample12_Petal.Width",0.2,1.5,1.9
"sample12_Sepal.Length",4.8,5.9,6.4
"sample12_Sepal.Width",3.4,3,2.7
"sample13_Petal.Length",1.4,4,5.5
"sample13_Petal.Width",0.1,1,2.1
"sample13_Sepal.Length",4.8,6,6.8
"sample13_Sepal.Width",3,2.2,3
"sample14_Petal.Length",1.1,4.7,5
"sample14_Petal.Width",0.1,1.4,2
"sample14_Sepal.Length",4.3,6.1,5.7
"sample14_Sepal.Width",3,2.9,2.5
"sample15_Petal.Length",1.2,3.6,5.1
"sample15_Petal.Width",0.2,1.3,2.4
"sample15_Sepal.Length",5.8,5.6,5.8
"sample15_Sepal.Width",4,2.9,2.8
"sample16_Petal.Length",1.5,4.4,5.3
"sample16_Petal.Width",0.4,1.4,2.3
"sample16_Sepal.Length",5.7,6.7,6.4
"sample16_Sepal.Width",4.4,3.1,3.2
"sample17_Petal.Length",1.3,4.5,5.5
"sample17_Petal.Width",0.4,1.5,1.8
"sample17_Sepal.Length",5.4,5.6,6.5
"sample17_Sepal.Width",3.9,3,3
"sample18_Petal.Length",1.4,4.1,6.7
"sample18_Petal.Width",0.3,1,2.2
"sample18_Sepal.Length",5.1,5.8,7.7
"sample18_Sepal.Width",3.5,2.7,3.8
"sample19_Petal.Length",1.7,4.5,6.9
"sample19_Petal.Width",0.3,1.5,2.3
"sample19_Sepal.Length",5.7,6.2,7.7
"sample19_Sepal.Width",3.8,2.2,2.6
"sample2_Petal.Length",1.4,4.5,5.1
"sample2_Petal.Width",0.2,1.5,1.9
"sample2_Sepal.Length",4.9,6.4,5.8
"sample2_Sepal.Width",3,3.2,2.7
"sample20_Petal.Length",1.5,3.9,5
"sample20_Petal.Width",0.3,1.1,1.5
"sample20_Sepal.Length",5.1,5.6,6
"sample20_Sepal.Width",3.8,2.5,2.2
"sample21_Petal.Length",1.7,4.8,5.7
"sample21_Petal.Width",0.2,1.8,2.3
"sample21_Sepal.Length",5.4,5.9,6.9
"sample21_Sepal.Width",3.4,3.2,3.2
"sample22_Petal.Length",1.5,4,4.9
"sample22_Petal.Width",0.4,1.3,2
"sample22_Sepal.Length",5.1,6.1,5.6
"sample22_Sepal.Width",3.7,2.8,2.8
"sample23_Petal.Length",1,4.9,6.7
"sample23_Petal.Width",0.2,1.5,2
"sample23_Sepal.Length",4.6,6.3,7.7
"sample23_Sepal.Width",3.6,2.5,2.8
"sample24_Petal.Length",1.7,4.7,4.9
"sample24_Petal.Width",0.5,1.2,1.8
"sample24_Sepal.Length",5.1,6.1,6.3
"sample24_Sepal.Width",3.3,2.8,2.7
"sample25_Petal.Length",1.9,4.3,5.7
"sample25_Petal.Width",0.2,1.3,2.1
"sample25_Sepal.Length",4.8,6.4,6.7
"sample25_Sepal.Width",3.4,2.9,3.3
"sample26_Petal.Length",1.6,4.4,6
"sample26_Petal.Width",0.2,1.4,1.8
"sample26_Sepal.Length",5,6.6,7.2
"sample26_Sepal.Width",3,3,3.2
"sample27_Petal.Length",1.6,4.8,4.8
"sample27_Petal.Width",0.4,1.4,1.8
"sample27_Sepal.Length",5,6.8,6.2
"sample27_Sepal.Width",3.4,2.8,2.8
"sample28_Petal.Length",1.5,5,4.9
"sample28_Petal.Width",0.2,1.7,1.8
"sample28_Sepal.Length",5.2,6.7,6.1
"sample28_Sepal.Width",3.5,3,3
"sample29_Petal.Length",1.4,4.5,5.6
"sample29_Petal.Width",0.2,1.5,2.1
"sample29_Sepal.Length",5.2,6,6.4
"sample29_Sepal.Width",3.4,2.9,2.8
"sample3_Petal.Length",1.3,4.9,5.9
"sample3_Petal.Width",0.2,1.5,2.1
"sample3_Sepal.Length",4.7,6.9,7.1
"sample3_Sepal.Width",3.2,3.1,3
"sample30_Petal.Length",1.6,3.5,5.8
"sample30_Petal.Width",0.2,1,1.6
"sample30_Sepal.Length",4.7,5.7,7.2
"sample30_Sepal.Width",3.2,2.6,3
"sample31_Petal.Length",1.6,3.8,6.1
"sample31_Petal.Width",0.2,1.1,1.9
"sample31_Sepal.Length",4.8,5.5,7.4
"sample31_Sepal.Width",3.1,2.4,2.8
"sample32_Petal.Length",1.5,3.7,6.4
"sample32_Petal.Width",0.4,1,2
"sample32_Sepal.Length",5.4,5.5,7.9
"sample32_Sepal.Width",3.4,2.4,3.8
"sample33_Petal.Length",1.5,3.9,5.6
"sample33_Petal.Width",0.1,1.2,2.2
"sample33_Sepal.Length",5.2,5.8,6.4
"sample33_Sepal.Width",4.1,2.7,2.8
"sample34_Petal.Length",1.4,5.1,5.1
